fanout,roadrunner,runc,wasmedge
1,0.06375986073018947,0.011574334990258657,0.022345128490824404
10,0.16583548220217953,,0.08026021939183349
20,0.20098710505536113,0.041651619206515396,0.16518277126234154
40,0.2676388522259974,0.13930907181692492,0.41171802271093916
60,0.24410635426151087,0.23544907051678812,0.5256779744720474
80,0.3627790412297616,0.44682477154372535,0.8261562307609636
90,,0.6446878510783248,
100,0.3380387792986492,0.8178270470221758,1.0
