fanout,roadrunner,runc,wasmedge
1,0.000013342,0.099893056,0.216758872
10,0.0000169708,,0.1767155593
20,0.00001299466667,0.0943570521,0.1743692082
40,0.00001287526316,0.09307383635,0.1874054731
60,0.00001344845763,0.09427280458,0.1763738897
80,0.00001421905195,0.09303107445,0.1766799516
90,,0.09286616463,
100,0.00001285955208,0.09318913075,0.1756464749
