fanout,roadrunner,runc,wasmedge
1,0.03939408331807871,0.010262018790451046,0.01359195382544994
10,0.1811424229306802,,0.07424113052755393
20,0.23078860789445912,0.025171489927450313,0.16850889844954048
40,0.28420824760644675,0.07643821855562369,0.4449871044407094
60,0.24933436435641837,0.1545734621029344,0.5308704119346646
80,0.3425985354025851,0.3076548457827166,0.8464199311905909
90,,0.4735976428372843,
100,0.3082152398713595,0.56012985896602,1.0
