fanout,roadrunner,runc,wasmedge
1,5.026946068,2.314797401,25.18040466
10,85.18743706,,23.53762436
20,176.6616144,23.14186287,24.09001255
40,366.1118212,25.13648796,26.19277573
60,429.512208,19.76469326,27.32313728
80,741.9944601,26.50549698,29.85172367
90,,27.15765476,
100,686.9525299,27.29001331,31.13987446
