fanout,roadrunner,runc,wasmedge
1,0.207380384,0.112505211,
10,0.2208001415,0.1001680847,0.6010340216
20,0.2222901065,0.0980744034,0.5970055127
40,0.2211970862,0.098583382,0.6254009517
60,0.2290589713,0.0973951845,0.6015140605
80,0.2236502636,0.09713948654,0.6013540058
100,0.2131282043,0.09753106298,0.6000694798
