fanout,roadrunner,runc,wasmedge
1,74951.28167,10.01070585,4.613421314
10,58924.74132,,5.658811277
20,76954.64806,10.59804199,5.734957511
40,77668.31542,10.74415796,5.336023454
60,74357.96935,10.607513,5.669773467
80,70328.17685,10.74909653,5.659951744
90,,10.76818456,
100,77763.20618,10.7308652,5.693254024
