Fanout,RoadRunner_Embedded,RoadRunner,RunC,Wasmedge
1,0.4601054879954775,0.0020212937804814984,0.003038377833781712,0.01999918961876576
10,0.47477960203474967,0.0023559318272395975,0.022327567320707974,0.11998187281562142
20,0.49104863275629007,0.0027358214037630133,0.040977907852744556,0.20939354353555945
40,0.5176620118851455,0.004235949598859448,0.0764349578096509,0.4034166498264109
60,0.5334965164969405,0.005595976685568579,0.11598665873390628,0.6061722630031787
80,0.5645809944464071,0.006445829090992996,0.14196716104276846,0.8070426333806726
100,0.5984868904719759,0.029867091326449012,0.17979269286109123,1.0
