Fanout,RoadRunner_Embedded,RoadRunner,RunC,Wasmedge
1,0.027321798910195122,0.02889286619923882,0.020817365477397314,0.08814477893843793
10,0.034795753764085405,0.01683219190871651,0.06902743398601424,0.24216283982057665
20,0.034605593173112466,0.016249586366751913,0.10410819268084986,0.27001373885407814
40,0.06469946260523109,0.02013281568682683,0.15246120581264733,0.43464106318094115
60,0.09585711863063498,0.02527664836045245,0.19861735619699358,0.612711081010055
80,0.1509510959954358,0.023900013474244555,0.23243194816017498,0.8184309238554957
100,0.1407646352751801,0.5484845225252478,0.23416075877336387,1.0
