Fanout,RoadRunner_Embedded,RoadRunner,RunC,Wasmedge
1,22.90480423,2.684873581,2.098499298,25.92408276
10,25.67272663,2.126609802,18.94615364,52.60513687
20,32.26182938,3.16498661,21.51383972,91.27750301
40,55.92034721,3.121883392,22.58054829,175.8919029
60,89.95969868,5.10461998,23.17032337,281.1694717
80,138.2020006,8.110588074,29.40756226,288.170166
100,195.872611,59.37175274,23.50496387,345.390625
