Fanout,RoadRunner_Embedded,RoadRunner,RunC,Wasmedge
1,0.2502838263406848,0.002793454146751896,0.0012504413013339668,0.013240643086092706
10,0.25928380723244326,0.002640228134805734,0.02217883948539292,0.10785401571298066
20,0.2682378289083798,0.0027199264574354603,0.038907354683136684,0.20377914990230678
40,0.2813788055152244,0.0031941397052842892,0.07629232226799756,0.4006959376494232
60,0.2885249115529105,0.0040550722269688064,0.11038929403794458,0.605481483800018
80,0.3047763271600582,0.004983249677269703,0.14599765236716006,0.8059174070276559
100,0.3220227165371953,0.02693723168001095,0.18285231390014575,1.0
