size_mb,rr_user,rr_kernel,runc,wasmedge
1,0.000840585324512075,0.054668781904979195,0.009472020861544785,0.034309380402049144
2,0.003745008803444848,0.047456259704362604,0.012216041939016016,0.0351258310998703
4,0.007106465032015599,0.05507092827986927,0.011801185191499189,0.0424939213431387
6,0.008853036669412286,0.06158903801997193,0.01750512099182333,0.04370029275153397
8,0.013604165020081731,0.059092531484234115,0.018906804326497745,0.042452763869752594
10,0.014683167835313805,0.06188039249541467,0.021403796894825196,0.04778840710371033
20,0.02791746933822094,0.0808297983824199,0.033123977151787685,0.0675727685711873
40,0.05224782977239984,0.11605706745502699,0.05515997388495427,0.10221593041025555
60,0.07932303993205697,0.15474445389074423,0.07309143698892004,0.1310358437611556
100,0.13267573346524308,0.21044856274315274,0.10702370925618848,0.20580185548691687
200,0.2700705075765142,0.37667348732586253,0.2306112460247069,0.42368825051096515
300,0.4037398095602903,0.5414467376710257,0.36024896799339795,0.6121420512420814
400,0.5557253608569132,0.6860300214190195,0.4883363996286437,0.8143809746383754
500,0.653343994801776,0.8028203514690783,0.5977651922175039,1
