size_mb,rr_user_s,rr_kernel_s,runc_s,wasmedge_s
1,0.000168278,0.000348781,0.001267904,0.007969171
2,0.000178791,0.000272975,0.002205227,0.025580404
4,0.000180449,0.000391306,0.004135203,0.062751268
6,0.000212,0.000291752,0.016558717,0.098831735
8,0.00020695,0.000239384,0.016564147,0.132543276
10,0.000216785,0.000250342,0.002290822,0.179492418
20,0.000222794,0.000244083,0.040511711,0.360720009
40,0.000233697,0.000254233,0.055038049,0.717180409
60,0.000216699,0.000236801,0.063056715,1.089191447
100,0.000221091,0.000237648,0.096986649,1.789727308
200,0.000212349,0.000331625,0.204907617,3.542803101
300,0.000254171,0.000249579,0.460671207,5.346671119
400,0.000224538,0.000340978,0.425290176,7.084085892
500,0.000222007,0.000241755,0.714887921,8.735195094
