size_mb,rr_user,rr_kernel,runc,wasmedge
1,0.0005817686920194542,0.002854931351840466,0.002964303866475769,0.013870903651703253
2,0.0015043614709660984,0.0019377578151898638,0.002981252834822065,0.016554183860651665
4,0.0006474113579954983,0.0021423959097922386,0.004130582062607923,0.02407327776480876
6,0.0015058946759693831,0.001915177502616808,0.004174000198783939,0.03252717214274745
8,0.0011717304419866345,0.002673775503967057,0.003354223515244453,0.03893487212253123
10,0.002314531223832607,0.0028412351361511903,0.003944818549829945,0.04594889643767456
20,0.004310208126892204,0.00556222365439412,0.004359209712284832,0.07802267980353307
40,0.007549924028936928,0.0061820699226496165,0.006209533790967882,0.14177465044664303
60,0.010427037047199128,0.012150299704539525,0.008547444832212835,0.20637013675690533
100,0.017608301838724385,0.01567590772840068,0.013480826034226229,0.29572468324381407
200,0.03033283602114514,0.030562422146082156,0.026104018960455565,0.5779951901655712
300,0.04745179715003367,0.04779395019166809,0.03537771074760097,0.7232339685649096
400,0.05480329598676984,0.0593723330369731,0.0504481057301137,0.8366618758542068
500,0.07771702061454948,0.07881470465002686,0.06025962868279442,1
