size_mb,roadrunner_rps,runc_rps,wasmedge_rps
1,50.22138817364088,58.99666164740904,31.970699099218643
2,40.20630590598466,38.34893326791498,16.375459108139385
4,20.598517281298544,22.051579093239123,8.106736228494207
6,13.548862369021215,14.110004927599538,5.566536726350138
8,10.362171225472661,11.211899878729855,4.175319547134135
10,4.019482586823507,9.228459195478256,3.401646701040228
20,4.032181311836983,4.511028875117592,1.5029364627814654
40,1.9934296744041557,2.265324938301525,0.8715282760670925
60,1.3339573261799416,1.5005632622318455,0.5825080827948014
100,0.8026582759621913,0.8545916737363521,0.35120936010475455
200,0.39478896252705557,0.4559260822472336,0.17586528645819097
300,0.2689472580273158,0.30688523498144244,0.11722259292422832
400,0.2003829945196319,0.22316498436653992,0.08917061446019863
500,0.16151641321868015,0.17750679158000263,0.07134749082317963
