size_mb,roadrunner_frac,runc_frac,wasmedge_frac
1,0.007401634866231177,0.012137593525327168,0.03217229557188842
2,0.27035369982402924,0.013279082412468305,0.0358119763809951
4,0.23764859450245948,0.012096090207098663,0.04464547728474852
6,0.2596931945101292,0.016532861851785846,0.03477277530318909
8,0.298660854837391,0.01790867276857107,0.03405998981496228
10,0.3101740981250295,0.02294700627895964,0.03678967763183915
20,0.30411009369549613,0.032524991669662266,0.037185453848274916
40,0.25972226278656235,0.06935811011080337,0.052897935735441576
60,0.14821568145563613,0.06165883378183025,0.08854160264599188
100,0.20886589380071474,0.11068426991221494,0.14266023351971058
200,0.4111759226046558,0.302061224368367,0.26405964536929033
300,0.6293239265522877,0.36485869870508947,0.3902790108476425
400,0.7980540863665433,0.689392740861881,0.6985078100136832
500,1.0,0.9394254987471375,0.890972342539097
