size_mb,roadrunner_s,runc_s,wasmedge_s
1,0.001109629,0.002361838,0.013808238
2,0.000220544,0.001690373,0.035601443
4,0.000247556,0.003782886,0.073046264
6,0.000249221,0.008979152,0.106859888
8,0.00024397,0.00709133,0.143883927
10,0.000235101,0.008683181,0.178001774
20,0.000225927,0.019221033,0.443204569
40,0.000230622,0.043198836,0.717176207
60,0.00025393,0.073222246,1.084127719
100,0.000264914,0.096105571,1.778137066
200,0.000255368,0.194148928,3.562366337
300,0.00033287,0.290124824,5.369548007
400,0.000253389,0.382806498,7.014638187
500,0.000255188,0.474210408,8.755969316
