size_mb,roadrunner_frac,runc_frac,wasmedge_frac
1,0.004614989807361207,0.005361034998954057,0.027355917604675362
2,0.02054823559922564,0.004119538583505739,0.026057454766109222
4,0.016518325768792395,0.006301046264172789,0.028457377060731065
6,0.01750028147888584,0.005471606459148925,0.03167749787271785
8,0.025130926723610184,0.004432328839496125,0.02448866175773511
10,0.019790946222682723,0.0073192417449484655,0.027388112029059206
20,0.022940575307752377,0.00666610441154283,0.0280947030317213
40,0.021276960740702035,0.01800049215034272,0.04552261865608555
60,0.022199925795439744,0.01706016623046999,0.06807053754060949
100,0.033048639967799005,0.02615623374273213,0.13294782398611613
200,0.06512706459734359,0.05680681110633737,0.2786669672609951
300,0.13020216646521543,0.08735239668104589,0.4224620671966958
400,0.1372405498544788,0.1399513713582527,0.7592374937552961
500,0.18199439130487194,0.1853591251073636,1.0
