size_mb,roadrunner_frac,runc_frac,wasmedge_frac
1,0.005933579129869086,0.008312805077733658,0.030479354106195587
2,0.12112728837368417,0.007967407839183684,0.031093238649119233
4,0.10527879383365961,0.008897638586250279,0.03617073576462572
6,0.11499540394063593,0.010139683799520011,0.03425599678977846
8,0.13582412976050678,0.010020415565908406,0.029374998095402182
10,0.13667990646047823,0.013879961085731236,0.032339381450175606
20,0.13633276371683428,0.017306201044635705,0.03294094939984466
40,0.11754861297497333,0.03926310914522667,0.05038452058155545
60,0.07147706225448397,0.03555795860276248,0.07910584766608143
100,0.10398208827067078,0.061046758275419805,0.14330537654720235
200,0.2057608811316402,0.15703350073266317,0.2849058590010021
300,0.33514488817608873,0.20188751705154018,0.4278472401175822
400,0.4070541512773753,0.3657740119214238,0.7679843301273243
500,0.5174184403561982,0.49527870491068665,1.0
